名称,営業日,住所,アクセス
海鮮出汁居酒屋　淡路島の恵み だしや 渋谷宮益坂,月～金: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、祝日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-14-15 森ビルB1,ＪＲ渋谷駅 徒歩1分/副都心線・半蔵門線・田園都市線 渋谷駅 B3出口徒歩30秒
ジンナンカフェ 渋谷,月～金: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 10:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区神南１-17-5 クーラビル1F・B1F,東京メトロ，東急渋谷駅Ｂ１出口より徒歩約6分
ロクシタンカフェ SHIBUYA TOKYO,月～日、祝日、祝前日: 10:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂２丁目3-1 渋谷駅前ビル2-3階,渋谷駅から徒歩3分
渋谷松川 渋谷駅ハチ公前本店,月～日、祝日、祝前日: 11:00～22:00 （料理L.O. 21:30）,東京都渋谷区宇田川町２２－１,渋谷駅ハチ公口徒歩1分
ミラン ナタラジ 渋谷店,月～日、祝日、祝前日: 11:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区神南１-22-7 岩本ビル3F,各線「渋谷駅」ハチ公口から徒歩3分。公園通り(西武と109MEN’S間)、マルイ隣のビル3F。  B1F「一欄」が目印。
ワインと和食 山城屋分店 渋谷,月～土、祝前日: 17:30～23:15 （料理L.O. 22:15 ドリンクL.O. 22:45）日、祝日: 17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都渋谷区道玄坂２-6-4 B1,東京メトロ各線渋谷駅より徒歩約1分/JR各線渋谷駅より徒歩約4分 
Shisha bar樂煙 渋谷店,月～木、日: 15:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）金、土: 15:00～翌8:00 （料理L.O. 翌8:00 ドリンクL.O. 翌8:00）,東京都渋谷区宇田川町３３－１３　楠原ビル２F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約5分/ＪＲ渋谷駅ハチ公口より徒歩約8分
バーボンストリート 渋谷,月～金、祝前日: 17:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）土、日、祝日: 13:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）,東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分
FLORA BOX フローラボックス 85,火～土、祝日、祝前日: 16:00～23:30,東京都渋谷区渋谷１－２４－５　ドクターズビルＢ１Ｆ,渋谷駅徒歩2分/ヒカリエから徒歩2分 宮益坂口からビックカメラ方面へ。宮下公園へ向かう道にあるファミリーマートの隣
神戸焼肉 かんてき 渋谷,月～日、祝日、祝前日: 17:00～翌2:00 （料理L.O. 翌1:30 ドリンクL.O. 翌1:30）,東京都渋谷区道玄坂２-7-6,渋谷駅から徒歩1分／マークシティすぐ。
Petalo 生ハムワイン,月～日、祝日、祝前日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区渋谷３丁目２１－３　渋谷ストリーム２F,東急東横線　田園都市線　東京メトロ半蔵門線　副都心線　渋谷駅　C2出口直結
